0000000,POLSKA,2002,110
0200000,DOLNOŒL¥SKIE,2002,110
0400000,KUJAWSKO-POMORSKIE,2002,115
0600000,LUBELSKIE,2002,109
0800000,LUBUSKIE,2002,168
1000000,£ÓDZKIE,2002,78
1200000,MA£OPOLSKIE,2002,100
1400000,MAZOWIECKIE,2002,98
1600000,OPOLSKIE,2002,104
1800000,PODKARPACKIE,2002,112
2000000,PODLASKIE,2002,99
2200000,POMORSKIE,2002,114
2400000,ŒL¥SKIE,2002,125
2600000,ŒWIÊTOKRZYSKIE,2002,125
2800000,WARMIÑSKO-MAZURSKIE,2002,119
3000000,WIELKOPOLSKIE,2002,113
3200000,ZACHODNIOPOMORSKIE,2002,119
0000000,POLSKA,2003,120
0200000,DOLNOŒL¥SKIE,2003,115
0400000,KUJAWSKO-POMORSKIE,2003,118
0600000,LUBELSKIE,2003,142
0800000,LUBUSKIE,2003,158
1000000,£ÓDZKIE,2003,81
1200000,MA£OPOLSKIE,2003,114
1400000,MAZOWIECKIE,2003,98
1600000,OPOLSKIE,2003,119
1800000,PODKARPACKIE,2003,130
2000000,PODLASKIE,2003,117
2200000,POMORSKIE,2003,132
2400000,ŒL¥SKIE,2003,134
2600000,ŒWIÊTOKRZYSKIE,2003,136
2800000,WARMIÑSKO-MAZURSKIE,2003,148
3000000,WIELKOPOLSKIE,2003,115
3200000,ZACHODNIOPOMORSKIE,2003,120
0000000,POLSKA,2004,183
0200000,DOLNOŒL¥SKIE,2004,167
0400000,KUJAWSKO-POMORSKIE,2004,160
0600000,LUBELSKIE,2004,149
0800000,LUBUSKIE,2004,213
1000000,£ÓDZKIE,2004,125
1200000,MA£OPOLSKIE,2004,149
1400000,MAZOWIECKIE,2004,288
1600000,OPOLSKIE,2004,155
1800000,PODKARPACKIE,2004,164
2000000,PODLASKIE,2004,144
2200000,POMORSKIE,2004,172
2400000,ŒL¥SKIE,2004,216
2600000,ŒWIÊTOKRZYSKIE,2004,155
2800000,WARMIÑSKO-MAZURSKIE,2004,178
3000000,WIELKOPOLSKIE,2004,160
3200000,ZACHODNIOPOMORSKIE,2004,150
0000000,POLSKA,2005,185
0200000,DOLNOŒL¥SKIE,2005,215
0400000,KUJAWSKO-POMORSKIE,2005,157
0600000,LUBELSKIE,2005,139
0800000,LUBUSKIE,2005,204
1000000,£ÓDZKIE,2005,121
1200000,MA£OPOLSKIE,2005,144
1400000,MAZOWIECKIE,2005,309
1600000,OPOLSKIE,2005,209
1800000,PODKARPACKIE,2005,147
2000000,PODLASKIE,2005,141
2200000,POMORSKIE,2005,178
2400000,ŒL¥SKIE,2005,196
2600000,ŒWIÊTOKRZYSKIE,2005,134
2800000,WARMIÑSKO-MAZURSKIE,2005,162
3000000,WIELKOPOLSKIE,2005,164
3200000,ZACHODNIOPOMORSKIE,2005,161
0000000,POLSKA,2006,248.76
0200000,DOLNOŒL¥SKIE,2006,249.39
0400000,KUJAWSKO-POMORSKIE,2006,207.37
0600000,LUBELSKIE,2006,214.52
0800000,LUBUSKIE,2006,279.13
1000000,£ÓDZKIE,2006,166.79
1200000,MA£OPOLSKIE,2006,192.26
1400000,MAZOWIECKIE,2006,410.73
1600000,OPOLSKIE,2006,263.68
1800000,PODKARPACKIE,2006,229.33
2000000,PODLASKIE,2006,216.04
2200000,POMORSKIE,2006,249.04
